Date; Open; High; Low; Close; Volume
18/08/2022;7900;8025;7875;8000;861368980
19/08/2022;8050;8050;7900;7900;581948980
22/08/2022;7850;8000;7825;8000;972932970
23/08/2022;8000;8000;7900;7900;716717970
24/08/2022;7950;8025;7900;7950;1088923980
25/08/2022;8000;8100;7900;8075;995035080
26/08/2022;8025;8125;8000;8000;804723980
29/08/2022;8000;8150;7950;8150;721151020
30/08/2022;8100;8275;8075;8175;1095966020
31/08/2022;8075;8225;8050;8200;1376599060
01/09/2022;8150;8250;8125;8150;761200940
02/09/2022;8150;8225;8150;8225;613510000
05/09/2022;8225;8300;8200;8275;629060000
06/09/2022;8300;8350;8250;8275;671239060
07/09/2022;8250;8375;8250;8375;1012426020
08/09/2022;8400;8500;8350;8350;1327774060
09/09/2022;8500;8500;8275;8375;912346020
12/09/2022;8325;8425;8325;8375;523953010
13/09/2022;8375;8575;8375;8525;1244852030
14/09/2022;8375;8650;8375;8500;1166423980
15/09/2022;8500;8875;8500;8750;1904047970
16/09/2022;8700;8725;8450;8450;3631276250
19/09/2022;8475;8750;8450;8650;1025306020
20/09/2022;8550;8650;8550;8550;892383980
21/09/2022;8525;8600;8425;8475;909336950
22/09/2022;8375;8525;8375;8475;619085000
23/09/2022;8375;8475;8375;8375;605676020
26/09/2022;8200;8500;8200;8425;1062282030
27/09/2022;8375;8450;8300;8300;895671020
28/09/2022;8250;8425;8250;8325;891533980
29/09/2022;8325;8450;8325;8375;626436990
30/09/2022;8375;8575;8275;8550;1765247970
03/10/2022;8450;8525;8450;8500;1150796020
04/10/2022;8525;8625;8525;8550;805244920
05/10/2022;8525;8550;8425;8450;637880000
06/10/2022;8475;8500;8425;8425;439673980
07/10/2022;8325;8375;8200;8200;1120433980
10/10/2022;8150;8375;8125;8300;802382030
11/10/2022;8200;8300;8150;8250;640600000
12/10/2022;8200;8325;8175;8325;475696990
13/10/2022;8275;8375;8275;8275;622828010
14/10/2022;8300;8350;8250;8250;711811020
17/10/2022;8250;8300;8175;8250;563875000
18/10/2022;8275;8475;8250;8300;856652970
19/10/2022;8250;8350;8225;8275;667535000
20/10/2022;8250;8500;8250;8500;918123050
21/10/2022;8450;8725;8450;8650;1227777970
24/10/2022;8750;8900;8725;8900;894164920
25/10/2022;8825;8875;8700;8700;894423980
26/10/2022;8625;8650;8550;8550;872116950
27/10/2022;8550;8700;8550;8700;770236020
28/10/2022;8650;8750;8650;8750;670402030
31/10/2022;8850;8850;8775;8800;1055666020
01/11/2022;9000;9000;8725;8800;1073947030
02/11/2022;8800;8825;8725;8750;583170000
03/11/2022;8700;8825;8700;8800;721436950
04/11/2022;8775;8800;8675;8775;691530000
07/11/2022;8725;8850;8675;8850;739007970
08/11/2022;8850;8875;8725;8750;425273980
09/11/2022;8675;8875;8675;8875;681740940
10/11/2022;8725;8800;8725;8800;747797970
11/11/2022;8900;8925;8825;8850;595978980
14/11/2022;8875;8900;8750;8750;614316990
15/11/2022;8775;8850;8750;8800;476673010
16/11/2022;8625;8675;8550;8600;1435855000
17/11/2022;8625;8825;8600;8725;726992970
18/11/2022;8725;8900;8725;8825;838991020
21/11/2022;8875;8900;8725;8725;486541020
22/11/2022;8900;8950;8850;8900;846842030
23/11/2022;8900;8975;8875;8875;855167030
24/11/2022;8975;9000;8950;9000;611896020
25/11/2022;9000;9000;8900;8975;604656990
28/11/2022;9050;9100;8975;9025;776496020
29/11/2022;8975;9075;8925;8975;817373980
30/11/2022;8875;9400;8850;9300;3876559380
01/12/2022;9275;9350;9000;9000;1327679060
02/12/2022;8900;8975;8900;8900;1378094060
05/12/2022;8800;8900;8775;8775;1386513910
06/12/2022;8725;8750;8575;8675;1809132970
07/12/2022;8500;8575;8450;8450;1950927970
08/12/2022;8375;8575;8350;8500;1496085000
09/12/2022;8500;8600;8450;8575;755020940
12/12/2022;8525;8700;8475;8700;842807030
13/12/2022;8625;8700;8550;8700;835047970
14/12/2022;8600;8700;8525;8625;1182383980
15/12/2022;8575;8600;8500;8500;805855080
16/12/2022;8425;8650;8400;8600;1249442030
19/12/2022;8650;8700;8600;8650;547271990
20/12/2022;8550;8650;8550;8575;412960000
21/12/2022;8600;8700;8575;8675;336205000
22/12/2022;8650;8675;8575;8575;521106020
23/12/2022;8525;8575;8500;8500;473930000
26/12/2022;8500;8625;8500;8575;205153010
27/12/2022;8600;8650;8575;8600;286936990
28/12/2022;8650;8650;8550;8650;483680000
29/12/2022;8525;8600;8500;8575;470208980
